Campaign Subscriber Count,Provider,Price USD,Remarks
0-1.000,ConvertKit,0-29,
1.001-2.000,ConvertKit,49,
2.001-3.000,ConvertKit,49,
3.001-5.000,ConvertKit,79,
5.001-10.000,ConvertKit,99-119,
10.001-15.000,ConvertKit,149,
15.001-25.000,ConvertKit,179-199,
25.001-50.000,ConvertKit,259-379,
50.001-100.000,ConvertKit,379-679,
0-1.000,AWeber,0-19,
1.001-2.000,AWeber,19-29,
2.001-3.000,AWeber,29-49,
3.001-5.000,AWeber,49,
5.001-10.000,AWeber,69,
10.001-15.000,AWeber,149,
15.001-25.000,AWeber,149,
25.001-50.000,AWeber,NA,Must Request a Quote
50.001-100.000,AWeber,NA,Must Request a Quote
0-1.000,Mailchimp,0,Reduced Features
1.001-2.000,Mailchimp,0,Reduced Features
2.001-3.000,Mailchimp,51,
3.001-5.000,Mailchimp,79,
5.001-10.000,Mailchimp,105,
10.001-15.000,Mailchimp,170,
15.001-25.000,Mailchimp,200-230,
25.001-50.000,Mailchimp,270-320,
50.001-100.000,Mailchimp,430-540,
